run,param,index,mod,value,notes
0,TechInputSplit,ON|2021|F_H2_ELEC-SOL|*,s,0,
0,TechInputSplit,ON|2025|F_H2_ELEC-SOL|*,s,0,
0,TechInputSplit,ON|2030|F_H2_ELEC-SOL|*,s,0,
0,TechInputSplit,ON|2035|F_H2_ELEC-SOL|*,s,0,
0,TechInputSplit,ON|2040|F_H2_ELEC-SOL|*,s,0,
0,TechInputSplit,ON|2045|F_H2_ELEC-SOL|*,s,0,
0,TechInputSplit,ON|2050|F_H2_ELEC-SOL|*,s,0,
0,TechInputSplit,ON|2021|F_H2_ELEC-WND|*,s,0,
0,TechInputSplit,ON|2025|F_H2_ELEC-WND|*,s,0,
0,TechInputSplit,ON|2030|F_H2_ELEC-WND|*,s,0,
0,TechInputSplit,ON|2035|F_H2_ELEC-WND|*,s,0,
0,TechInputSplit,ON|2040|F_H2_ELEC-WND|*,s,0,
0,TechInputSplit,ON|2045|F_H2_ELEC-WND|*,s,0,
0,TechInputSplit,ON|2050|F_H2_ELEC-WND|*,s,0,
0,TechOutputSplit,ON|2021|F_SOL_PV-H2|*,s,0,
0,TechOutputSplit,ON|2025|F_SOL_PV-H2|*,s,0,
0,TechOutputSplit,ON|2030|F_SOL_PV-H2|*,s,0,
0,TechOutputSplit,ON|2035|F_SOL_PV-H2|*,s,0,
0,TechOutputSplit,ON|2040|F_SOL_PV-H2|*,s,0,
0,TechOutputSplit,ON|2045|F_SOL_PV-H2|*,s,0,
0,TechOutputSplit,ON|2050|F_SOL_PV-H2|*,s,0,
0,TechOutputSplit,ON|2021|F_WND_ON-H2|*,s,0,
0,TechOutputSplit,ON|2025|F_WND_ON-H2|*,s,0,
0,TechOutputSplit,ON|2030|F_WND_ON-H2|*,s,0,
0,TechOutputSplit,ON|2035|F_WND_ON-H2|*,s,0,
0,TechOutputSplit,ON|2040|F_WND_ON-H2|*,s,0,
0,TechOutputSplit,ON|2045|F_WND_ON-H2|*,s,0,
0,TechOutputSplit,ON|2050|F_WND_ON-H2|*,s,0,
0,Efficiency,ON|*|F_H2_ELEC-GRID|*|*,s,0.5,
0,Efficiency,ON|*|F_H2_ELEC-SOL|*|*,s,0.5,
0,Efficiency,ON|*|F_H2_ELEC-WND|*|*,s,0.5,
0,MinAnnualCapacityFactor,ON|*|F_H2_ELEC-GRID|*,s,0.1,
0,MinAnnualCapacityFactor,ON|*|F_H2_ELEC-SOL|*,s,0.1,
0,MinAnnualCapacityFactor,ON|*|F_H2_ELEC-WND|*,s,0.1,
0,MaxAnnualCapacityFactor,ON|*|F_H2_ELEC-GRID|*,s,0.1,
0,MaxAnnualCapacityFactor,ON|*|F_H2_ELEC-SOL|*,s,0.1,
0,MaxAnnualCapacityFactor,ON|*|F_H2_ELEC-WND|*,s,0.1,
0,MinCapacityGroup,ON|2021|F_H2_ELEC-ANY,s,0,
0,MinCapacityGroup,ON|2021|F_H2_ELEC-GRID,s,0,
0,MinCapacityGroup,ON|2021|F_H2_ELEC-SOL,s,0,
0,MinCapacityGroup,ON|2021|F_H2_ELEC-WND,s,0,
0,MinCapacityGroup,ON|2025|F_H2_ELEC-ANY,s,0,
0,MinCapacityGroup,ON|2025|F_H2_ELEC-GRID,s,0,
0,MinCapacityGroup,ON|2025|F_H2_ELEC-SOL,s,0,
0,MinCapacityGroup,ON|2025|F_H2_ELEC-WND,s,0,
0,MinCapacityGroup,ON|2030|F_H2_ELEC-ANY,s,0,
0,MinCapacityGroup,ON|2030|F_H2_ELEC-GRID,s,0,
0,MinCapacityGroup,ON|2030|F_H2_ELEC-SOL,s,0,
0,MinCapacityGroup,ON|2030|F_H2_ELEC-WND,s,0,
0,MinCapacityGroup,ON|2035|F_H2_ELEC-ANY,s,0.125,
0,MinCapacityGroup,ON|2035|F_H2_ELEC-GRID,s,0,
0,MinCapacityGroup,ON|2035|F_H2_ELEC-SOL,s,0,
0,MinCapacityGroup,ON|2035|F_H2_ELEC-WND,s,0,
0,MinCapacityGroup,ON|2040|F_H2_ELEC-ANY,s,0.25,
0,MinCapacityGroup,ON|2040|F_H2_ELEC-GRID,s,0,
0,MinCapacityGroup,ON|2040|F_H2_ELEC-SOL,s,0,
0,MinCapacityGroup,ON|2040|F_H2_ELEC-WND,s,0,
0,MinCapacityGroup,ON|2045|F_H2_ELEC-ANY,s,0.375,
0,MinCapacityGroup,ON|2045|F_H2_ELEC-GRID,s,0,
0,MinCapacityGroup,ON|2045|F_H2_ELEC-SOL,s,0,
0,MinCapacityGroup,ON|2045|F_H2_ELEC-WND,s,0,
0,MinCapacityGroup,ON|2050|F_H2_ELEC-ANY,s,0.5,
0,MinCapacityGroup,ON|2050|F_H2_ELEC-GRID,s,0,
0,MinCapacityGroup,ON|2050|F_H2_ELEC-SOL,s,0,
0,MinCapacityGroup,ON|2050|F_H2_ELEC-WND,s,0,
0,MaxCapacityGroup,ON|2021|F_H2_ELEC-ANY,s,0,
0,MaxCapacityGroup,ON|2021|F_H2_ELEC-GRID,s,0,
0,MaxCapacityGroup,ON|2021|F_H2_ELEC-SOL,s,0,
0,MaxCapacityGroup,ON|2021|F_H2_ELEC-WND,s,0,
0,MaxCapacityGroup,ON|2025|F_H2_ELEC-ANY,s,0,
0,MaxCapacityGroup,ON|2025|F_H2_ELEC-GRID,s,0,
0,MaxCapacityGroup,ON|2025|F_H2_ELEC-SOL,s,0,
0,MaxCapacityGroup,ON|2025|F_H2_ELEC-WND,s,0,
0,MaxCapacityGroup,ON|2030|F_H2_ELEC-ANY,s,0,
0,MaxCapacityGroup,ON|2030|F_H2_ELEC-GRID,s,0,
