,test_run-1,test_run-2,test_run-3,test_run-4,test_run-5,test_run-6,test_run-7,test_run-8,test_run-9,test_run-10,test_run-11,test_run-12,test_run-13,test_run-14,test_run-15,test_run-16,test_run-17,test_run-18,test_run-19,test_run-20,test_run-21,test_run-22,test_run-23,test_run-24,test_run-25,test_run-26,test_run-27,test_run-28,test_run-29,test_run-30,test_run-31,test_run-32,test_run-33,test_run-34,test_run-35,test_run-36,test_run-37,test_run-38,test_run-39,test_run-40,test_run-41,test_run-42,test_run-43,test_run-44,test_run-45,test_run-46,test_run-47,test_run-48,test_run-49,test_run-50,test_run-51,test_run-52
"V_NewCapacity[ON,C_SPHC_HP_AIR-NEW,2050]",-0.049592394,0.415703805,-0.32068515,-0.22564316,-0.075058844,0.097344192,0.294951663,0.424651557,-0.02058083,-0.200982729,0.104474826,0.450328672,0.451158425,-0.049592394,-0.180306627,0.133940117,0.339155008,0.434544525,-0.495782706,-0.015056025,-0.215870161,-0.249005906,-0.274634474,-0.305406849,-0.372907492,-0.082025746,-0.090525743,0.415703805,-0.461688166,-0.131633546,0.155536465,0.048351325,0.201780125,-0.427877403,0.469112367,-0.265579698,0.393375893,-0.385403305,0.40467518,-0.248427155,-0.472917461,-0.459529892,0.485270317,0.351467053,-0.07000114,0.001447926,0.155301889,0.46072257,-0.08490908,-0.432387165,0.045417504,0.458560671
"V_NewCapacity[ON,C_SPHC_HP_AIR-NEW,2045]",0.355495521,0.44641035,0.461791867,-0.363875071,-0.257397314,-0.490577969,0.356456252,0.40904057,0.137872122,0.410836887,0.19513623,0.453536499,0.017361742,0.355495521,-0.328202598,-0.015614883,-0.124195791,0.200930184,0.449597768,0.236884834,-0.382508462,0.045462185,0.158563947,0.210874233,0.394324263,0.173401715,-0.49597908,0.44641035,0.438087105,0.232105069,0.183347204,0.131327764,-0.451622952,-0.253955453,0.311630753,-0.272438364,-0.491403497,0.421100025,-0.417341972,-0.362508707,0.126244458,-0.325961522,0.248130879,-0.215362707,0.049259961,0.468678753,-0.15286003,0.212122561,0.217806724,0.497983166,-0.144866543,-0.132331758
"V_NewCapacity[ON,C_SPHC_HP_AIR-NEW,2040]",0.364901527,0.096303324,-0.311777004,-0.429957168,-0.349147617,-0.212016418,-0.065836345,0.046206741,0.431919066,0.001011715,0.305433728,-0.116378649,0.385214646,0.364901527,-0.355030672,-0.396652618,0.034222789,0.033953535,-0.335318975,0.070631178,-0.279919347,-0.493622422,0.286643931,0.054998697,0.491698544,0.340014596,0.226005319,0.096303324,0.287787643,0.199369561,-0.463272191,0.206026496,-0.264675101,-0.084224775,0.420685566,-0.375401539,-0.219533275,-0.33005735,0.378694914,-0.481789745,-0.355353682,0.296004058,0.301212904,0.331997769,0.244974951,0.332600194,-0.157900921,0.420067417,-0.329787002,-0.23984047,0.062270206,-0.463058249
"V_NewCapacity[ON,C_SPHC_HP_AIR-NEW,2035]",-0.071127057,-0.372726982,0.227510928,0.411186941,-0.216952028,0.248776019,0.093558435,0.079127097,0.164169399,-0.134060978,0.306333704,-0.287190331,-0.150851797,-0.071127057,0.274812938,-0.196676253,0.030686551,-0.000529579,-0.124807582,0.299994196,-0.214974994,-0.076063095,0.210000101,-0.162967114,-0.475892901,-0.354088891,-0.019756334,-0.372726982,-0.048483877,-0.265935535,-0.270863863,0.058243025,-0.414521458,0.146691508,0.227859958,-0.376834694,-0.364719873,0.083967799,-0.474028333,-0.479944767,0.402351181,0.107340484,0.100592104,0.217276933,0.406575262,0.142204539,-0.217980435,0.290019415,-0.391785882,0.305250845,0.440132268,0.451625935
"V_NewCapacity[ON,C_SPHC_HP_AIR-NEW,2021]",-0.070826563,-0.200047497,0.145233474,0.271466576,-0.464703395,-0.066458144,-0.197779607,-0.177903838,-0.071239715,-0.264334458,0.255643075,0.092649205,0.108474851,-0.070826563,-0.149141973,0.084162027,-0.089876068,-0.201193334,-0.466990586,0.087436636,0.176533994,-0.044781518,0.354396465,0.284689115,0.009966994,0.33390375,0.170333905,-0.200047497,0.306322949,0.368906144,-0.064613511,0.360017597,-0.160263555,0.393100751,-0.340104475,0.075819045,0.046954416,-0.318488102,-0.13386041,0.413304677,-0.29859366,-0.389467669,0.174835368,0.361143158,0.04923568,-0.47546314,-0.177691177,-0.126112825,-0.037915535,0.035288633,-0.072956327,0.054356889
"V_NewCapacity[ON,C_SPHC_HP_AIR-NEW,2030]",0.128621968,0.292606659,-0.089803838,0.310011859,0.124328,-0.185319932,0.421542996,-0.356519605,0.207909921,-0.035037712,0.042123638,-0.168106293,-0.296082283,0.128621968,0.226083767,-0.234086286,-0.492268981,0.129534952,-0.062299596,0.044825225,-0.157602482,0.283521916,0.212380814,0.370353499,-0.129972991,-0.47660175,0.052741705,0.292606659,0.307631552,0.114219648,-0.21745088,-0.441782087,-0.467105699,0.431711143,-0.127790303,0.072538369,-0.073036807,0.014355564,0.465415419,-0.483270579,-0.081069674,-0.41305452,0.104169628,-0.336948883,0.196241751,0.086962579,0.071935265,0.155102273,-0.398268471,-0.410168913,-0.072231272,0.146191659
"V_NewCapacity[ON,C_SPHC_HP_AIR-NEW,2025]",0.203722492,0.480435445,0.328306106,-0.025777211,-0.360138526,0.064300295,0.37912612,-0.26309347,0.039536909,0.379125492,-0.026905136,-0.124932472,0.401485232,0.203722492,-0.188374892,0.116076868,0.210510458,0.072153798,-0.138467894,-0.029019838,-0.102317185,0.35719698,0.400108208,0.458617603,-0.011033506,-0.364776342,-0.004259157,0.480435445,0.398190789,0.059307372,0.289342564,0.414375309,0.106102988,-0.246972004,0.243708378,-0.258909176,0.47818033,0.110446189,0.24452884,-0.29907574,-0.409100996,-0.275833804,0.135926794,-0.079559303,-0.119017573,0.304378744,0.408553844,0.097369946,-0.151383332,0.407900187,-0.19649998,-0.210002586
"V_NewCapacity[ON,C_SPHC_HP_GEO-NEW,2050]",-0.430022989,0.39736835,-0.374158779,-0.257441888,-0.1673062,0.13783499,0.258422267,0.451996765,-0.07832742,0.483862208,-0.035422673,0.29446492,-0.0972725,-0.430022989,0.227708456,-0.260002199,0.425692126,-0.301756937,0.456824488,-0.324996847,0.237426373,0.175832787,0.284207588,0.421893354,0.225277562,0.123638847,-0.263147399,0.39736835,0.485569325,0.167785056,-0.286817135,-0.059909215,-0.417207188,0.192191617,-0.465499612,0.255897074,0.419209128,-0.246159009,-0.02140117,-0.066961585,-0.285598776,-0.022957587,-0.005072507,-0.187654395,0.250752893,0.242638472,0.085180997,-0.012619787,0.155024207,-0.007101879,0.304659501,0.485666503
"V_NewCapacity[ON,C_SPHC_HP_GEO-NEW,2045]",-0.287910112,-0.026857275,-0.082506067,0.384071149,0.032161279,0.000766812,-0.220596042,0.303716367,0.327226492,-0.223413715,-0.403485048,0.458612873,-0.424390448,-0.287910112,0.322267675,-0.261182911,0.15219794,-0.213109598,0.425758538,-0.288213542,-0.153850779,0.251607537,-0.468088886,0.404548492,0.395827788,0.302121769,-0.488751029,-0.026857275,0.203635109,0.124980966,-0.344520387,0.363625674,-0.311028679,0.263543862,-0.126944092,0.391096627,-0.398059941,0.265135873,0.427319681,0.030163841,-0.447729763,-0.452789853,-0.192972838,0.231270011,0.034866435,-0.083618699,-0.125362403,0.306508444,0.284488415,0.010774001,0.487171005,0.447310628
"V_NewCapacity[ON,C_SPHC_HP_GEO-NEW,2040]",0.252285894,0.043811007,0.125014136,-0.375800157,0.485523955,0.145423418,0.184633226,-0.26474626,0.223140774,-0.152526866,-0.470526957,-0.35873937,-0.421763585,0.252285894,-0.052142719,0.239319809,-0.164915277,0.485675054,0.478767748,-0.478328187,-0.40157616,-0.48736336,0.392656631,0.014427193,-0.472020275,-0.134041308,-0.33612177,0.043811007,-0.140178768,-0.330333476,0.199402199,0.028885085,0.037062303,0.315715542,0.068828577,0.494851071,0.491539596,-0.152439664,-0.431615184,0.186342168,-0.100035005,0.284958464,0.195312023,-0.346576484,-0.448735912,0.430817928,-0.173575472,0.09833271,0.109399761,-0.016823413,-0.156774576,0.174075993
